,datetimeindex,joy_mean,fear_mean,surprise_mean,sadness_mean,others_mean,neu_mean,neg_mean,pos_mean,quotes_mean,likes_mean,replies_mean,joy_std,fear_std,surprise_std,sadness_std,others_std,neu_std,neg_std,pos_std,quotes_std,likes_std,replies_std,pct,close
0,2022-03-22 15:00:00+00:00,0.0065139667131006015,0.0020910315215586996,0.0021567714866249994,0.0012899880530312,0.979836642742157,0.4405929902020623,0.004556747262968669,0.554850268013337,0.058823529411764705,0.17647058823529413,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.1304610998692422,0.0009737060210726724,0.13102809603315874,0.24253562503633297,0.5285941398709244,0.24253562503633297,-0.005747661376646396,42727
1,2022-03-22 16:00:00+00:00,0.006513966713100601,0.0020910315215586996,0.0021567714866249994,0.0012899880530312,0.979836642742157,0.7228584341704846,0.1340097038191743,0.14313188190571963,0.0,1.1,0.3,0.0,0.0,0.0,0.0,0.0,0.2856476986048606,0.29039354086888114,0.19264951993099205,0.0,1.1005049346146119,0.48304589153964794,-0.004072366419360152,42553
2,2022-03-22 17:00:00+00:00,0.0065139667131006085,0.0020910315215587052,0.0021567714866250077,0.001289988053031205,0.979836642742157,0.8488437188702209,0.01194099414436512,0.13921525030153167,0.22897196261682243,0.38317757009345793,0.009345794392523364,0.0,0.0,0.0,0.0,0.0,0.10715830376165494,0.08750475642609629,0.0802998559093461,0.4211563214502883,0.637554892241678,0.09644644847553684,0.0015980071910324245,42621
3,2022-03-22 18:00:00+00:00,0.0065139667131006015,0.0020910315215587026,0.0021567714866250025,0.001289988053031201,0.979836642742157,0.5622047836130316,0.07125424056059936,0.36654098467393353,0.0,0.6363636363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.23137214401400183,0.18930217921936093,0.2575317866406804,0.0,1.444832892601109,0.0,-0.0018535463738532654,42542
4,2022-03-22 19:00:00+00:00,0.006513966713100618,0.002091031521558703,0.002156771486625005,0.0012899880530312059,0.979836642742157,0.7362007893323899,0.019363065940327943,0.24443611267581583,0.448,0.828,0.068,0.0,0.0,0.0,0.0,0.0,0.25350533669692726,0.11887653618726444,0.2413416725633377,1.1368666867552306,1.4883807001011984,0.3343999000787691,0.0014103709275539167,42602
5,2022-03-22 20:00:00+00:00,0.006513966713100597,0.0020910315215587017,0.0021567714866250016,0.0012899880530312013,0.979836642742157,0.5540570067241788,0.0046467242646030735,0.4412962645292282,0.25,17.0,0.25,0.0,0.0,0.0,0.0,0.0,0.3249130851112106,0.002871276043698063,0.32772283932074187,0.4380187953915665,29.204173005415385,0.4380187953915665,-0.002159523027087884,42510
6,2022-03-22 21:00:00+00:00,0.006513966713100657,0.00209103152155872,0.002156771486625032,0.001289988053031197,0.979836642742157,0.8293155066213068,0.017388391061286562,0.1532960854759089,0.16736401673640167,0.2897489539748954,0.056485355648535567,0.0,0.0,0.0,0.0,0.0,0.10513956802611565,0.11212329029717526,0.05503783595254534,0.9842858294492685,1.3003179392720159,0.23097741508092298,0.005222300635144617,42732
7,2022-03-22 22:00:00+00:00,0.006513966713100614,0.0020910315215587052,0.002156771486625008,0.0012899880530312055,0.979836642742157,0.7967000469373531,0.0021456642907767714,0.20115426515304988,0.15450643776824036,0.7725321888412017,0.0,0.0,0.0,0.0,0.0,0.0,0.17848759577632423,7.502354536385271e-05,0.1784389530077156,0.3622116465521667,0.6977309468376257,0.0,-0.002293363287466099,42634
8,2022-03-22 23:00:00+00:00,0.0065139667131006015,0.0020910315215586996,0.0021567714866249994,0.0012899880530312,0.979836642742157,0.4605517089366913,0.0018018638947977993,0.5376464128494263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006872449218933263,42341
9,2022-03-23 00:00:00+00:00,0.0065139667131006015,0.0020910315215586996,0.0021567714866249994,0.0012899880530312,0.979836642742157,0.9525721073150636,0.0026526821311563,0.0447752438485622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018185682907820855,42418
