,author_id,created_at,text,retweet_count,reply_count,like_count,quote_count
0,1400378624998445057,2022-03-22 23:59:44+00:00,b'#FREESPINS #BTC BONUS \nCLICK =&gt; https://t.co/fJeMCDc87b\n\n -1 Minute Registration\n- No Verifications\n- Immediate BTC Freespins NO Deposit\n- Withdrawals take less than 10 Minutes\n\n#ukraine #nfts #trending #breakingnews #cryptocurrency https://t.co/QFzGyMxtyx',0,0,0,0
1,15969369,2022-03-22 23:38:38+00:00,"b'Startup idea,  state subsidized zero cost energy to mine #crypto like #BTC for laundering in the Eurozone during times of economic #sanctions like those facing #Russia and other places the West threatens. Oh wait, they did that over a decade ago. Guess they were planning ahead. https://t.co/s6uacZOtce'",0,0,2,0
2,1360214353685938181,2022-03-22 23:38:13+00:00,b'@WSJ the LESSONS of... #UKRAINE #RUSSIA conflict boosted #BITCOIN as Valuable Asset with #GOLD. \n\nBought some UTILITY Cryptocurrency #LOOPRING $LRC #SHIBAINU $SHIB #POLYGON $MATIC LAYER2 blockchain technology https://t.co/1rnD11TUZf',0,0,0,0
3,1400378624998445057,2022-03-22 23:30:39+00:00,b'MY TOP 4 WINS LAST 6 MONTHS \n@_bitstarz\n\nNO DEPOSIT #BTC #BITCOIN #FREESPINS and WEEKLY FREEROLL TOURNAMENT CLICK=&gt; https://t.co/j0lUEj3WKf\n\n#ukraine #nfts #trending #breakingnews #cryptocurrency https://t.co/Fj9OteRzEo',0,0,0,0
4,1400378624998445057,2022-03-22 23:15:16+00:00,"b""#BREAKINGNEWS #BTC #CASINO #1 RATED FOR PAYOUTS, CUSTOMER SERVICE AND #JACKPOT 'S PAID @_BITSTARZ \n\nJOIN NOW=&gt; https://t.co/fJeMCDc87b\n\n#ukraine #nfts #trending #breakingnews #cryptocurrency https://t.co/mDYnbZI2Kb""",1,0,0,0
5,1504402433530867714,2022-03-22 23:12:57+00:00,b'Obamium will release soon\xe2\x9d\x97\xef\xb8\x8f\xe2\x9d\x97\xef\xb8\x8f\xe2\x9d\x97\xef\xb8\x8f\n\nWe will release it on @solana \nFor more info follow @ObamiumCoin \n\nIt could become next @Bitcoin \xf0\x9f\xa5\xb5\xf0\x9f\xa5\xb5\n\nPeace be with you\n\n#crypto #NFT #BTC #uranium #Meta #China #Elon #Tesla #cryptofuture #cryptocurrencies #CryptoNews #BitcoinButton #news #Russia',1,0,3,0
6,715909745811525632,2022-03-22 23:01:00+00:00,"b""#Russia &amp; #Ukraine updates, a pivotal point in time for #Bitcoin, #elsalvador's progress with implementation, #crypto is a go in #Honduras &amp; more in THE WEEK IN DIGITAL WEALTH this week at Digital Wealth News https://t.co/4dALLIqaVv""",1,0,1,0
7,1400378624998445057,2022-03-22 23:00:36+00:00,b'#FREESPINS #BTC BONUS \nCLICK =&gt; https://t.co/fJeMCDc87b\n\n -1 Minute Registration\n- No Verifications\n- Immediate BTC Freespins NO Deposit\n- Withdrawals take less than 10 Minutes\n\n#ukraine #nfts #trending #breakingnews #cryptocurrency https://t.co/MW2GvhBexh',0,0,0,1
8,918075342463688704,2022-03-22 22:50:01+00:00,b'Two years since the COVID-19 crash: 5 things to know in Bitcoin this week\n#ripple #btc #russia #coinbase\nhttps://t.co/DhVgS9uv1s',0,0,0,0
9,916681683134447617,2022-03-22 22:45:01+00:00,b'Bitcoin rejects $51K after Michael Saylor reveals new BTC purchase \xe2\x80\x94 What\xe2\x80\x99s next?\n#news #news #bitcoin #russia\nhttps://t.co/MN1BG2jy8Z',0,0,0,0
10,1459828812305375232,2022-03-22 22:40:10+00:00,"b""Hello 'Virtual Medals' and welcome to our Sole Tools App! \n\xe2\x9c\x85Our Discord: https://t.co/4cvg5qeEnq\n\n4 owners on OpenSea\nFloor Price = \xce\x9e0.01\n\n\xf0\x9f\x98\x8d Enjoy the NFT Life!\n\n#CryptoWorld #NFTArt #BTC #Russia https://t.co/0thlQAOv65""",0,1,1,0
11,1400378624998445057,2022-03-22 22:30:34+00:00,b'MY TOP 4 WINS LAST 6 MONTHS \n@_bitstarz\n\nNO DEPOSIT #BTC #BITCOIN #FREESPINS and WEEKLY FREEROLL TOURNAMENT CLICK=&gt; https://t.co/j0lUEj3WKf\n\n#ukraine #nfts #trending #breakingnews #cryptocurrency https://t.co/buMahqLT8z',0,0,0,0
12,918075342463688704,2022-03-22 22:30:02+00:00,b'Joe Biden sanctions cryptocurrency exchange over ransomware attacks\n#bitcoin #news #ukraine #ethereum\nhttps://t.co/AdWP4UkcT8',0,0,0,0
13,1400378624998445057,2022-03-22 22:15:10+00:00,"b""#BREAKINGNEWS #BTC #CASINO #1 RATED FOR PAYOUTS, CUSTOMER SERVICE AND #JACKPOT 'S PAID @_BITSTARZ \n\nJOIN NOW=&gt; https://t.co/fJeMCDc87b\n\n#ukraine #nfts #trending #breakingnews #cryptocurrency https://t.co/95nwKVVLjo""",1,0,0,0
