,created_at,author_id,text,retweet_count,reply_count,like_count,quote_count
0,2022-03-19 23:45:34+00:00,232997487,b'ROBERT PARRY: When #Western Media Saw #Ukraine\xe2\x80\x99s #NeoNazis \n#RusiaVsUcrania\n#abolishNATO\n#pravisektor\n#ANALYSIS\n#eddievsthor\n#Bitcoin\n#cripto\n#onlyfans\n#Facebook\n#TrudeauNationalDisgrace\n#TurningRed\n#Trending\n#doktor\nhttps://t.co/Keny3wbTBo',0,0,0,0
1,2022-03-19 23:31:05+00:00,1482925094657617921,b'Please help Ukrainian kids\n#Ukraine #Donation  #war \n\n#Bitcoin:\n1BfYLQNwwWfAcfLTS79FVW1uv7G3KsG1hT\n#Eth :\n0x1cf07c9a06c5ba513a9c9a6aacc05e480b58f0ed\n#Tron:\nTWx9Y7dfZM8jBvn4xG2Wh9GrSEjfXcNP2u\n#USDT :\n3Pp4zH4K2h4Sm3mh2v9b7Y9o8vmdhXvYpS\n#DOGE :\nDBcFZxxGhEqeUW3vmVRuQ7tAtSoVQgjQgW https://t.co/1cA1v6fc3e',3,0,3,0
2,2022-03-19 23:25:46+00:00,1482925094657617921,b'Please help Ukrainian kids\n#Ukraine #Donation  #war \n\n#Bitcoin:\n1BfYLQNwwWfAcfLTS79FVW1uv7G3KsG1hT\n#Eth :\n0x1cf07c9a06c5ba513a9c9a6aacc05e480b58f0ed\n#Tron:\nTWx9Y7dfZM8jBvn4xG2Wh9GrSEjfXcNP2u\n#USDT :\n3Pp4zH4K2h4Sm3mh2v9b7Y9o8vmdhXvYpS\n#DOGE :\nDBcFZxxGhEqeUW3vmVRuQ7tAtSoVQgjQgW https://t.co/S885Ac4OfR',3,0,3,0
3,2022-03-19 23:23:57+00:00,1482925094657617921,b'Please help Ukrainian kids\n#Ukraine #Donation  #war \n\n#Bitcoin:\n1BfYLQNwwWfAcfLTS79FVW1uv7G3KsG1hT\n#Eth :\n0x1cf07c9a06c5ba513a9c9a6aacc05e480b58f0ed\n#Tron:\nTWx9Y7dfZM8jBvn4xG2Wh9GrSEjfXcNP2u\n#USDT :\n3Pp4zH4K2h4Sm3mh2v9b7Y9o8vmdhXvYpS\n#DOGE :\nDBcFZxxGhEqeUW3vmVRuQ7tAtSoVQgjQgW https://t.co/Yoy9hGxXHQ',3,0,3,0
4,2022-03-19 23:23:50+00:00,1469577636426833930,b'#civilbenefits #Iran #Student #JeffBezos  #paranormal #bank #inflation  #loan #BTC #hiphop #india #Ukraine #Russia #poverty  #NickiMinaj #Raw #Czech #nft #gold \xf0\x9f\xa4\xa3 @theweeknd the gov when Russia \xe2\x9d\x8c the borders holding hands with our \xf0\x9f\xaa\x96\xf0\x9f\x8e\x96\xef\xb8\x8f \xf0\x9f\xa4\xa3\xf0\x9f\x98\x82\xf0\x9f\xa4\xa3 https://t.co/z0elRAIfux',0,0,0,0
5,2022-03-19 23:22:32+00:00,1482925094657617921,b'Please help Ukrainian kids\n#Ukraine #Donation  #war \n\n#Bitcoin:\n1BfYLQNwwWfAcfLTS79FVW1uv7G3KsG1hT\n#Eth :\n0x1cf07c9a06c5ba513a9c9a6aacc05e480b58f0ed\n#Tron:\nTWx9Y7dfZM8jBvn4xG2Wh9GrSEjfXcNP2u\n#USDT :\n3Pp4zH4K2h4Sm3mh2v9b7Y9o8vmdhXvYpS\n#DOGE :\nDBcFZxxGhEqeUW3vmVRuQ7tAtSoVQgjQgW https://t.co/IQRHvk4bLB',3,0,3,0
6,2022-03-19 23:20:19+00:00,1482925094657617921,b'Please help Ukrainian kids\n#Ukraine #Donation  #war \n\n#Bitcoin:\n1BfYLQNwwWfAcfLTS79FVW1uv7G3KsG1hT\n#Eth :\n0x1cf07c9a06c5ba513a9c9a6aacc05e480b58f0ed\n#Tron:\nTWx9Y7dfZM8jBvn4xG2Wh9GrSEjfXcNP2u\n#USDT :\n3Pp4zH4K2h4Sm3mh2v9b7Y9o8vmdhXvYpS\n#DOGE :\nDBcFZxxGhEqeUW3vmVRuQ7tAtSoVQgjQgW https://t.co/qX06sxAOBI',4,0,2,0
7,2022-03-19 23:20:12+00:00,1482925094657617921,b'Please help Ukrainian kids\n#Ukraine #Donation  #war \n\n#Bitcoin:\n1BfYLQNwwWfAcfLTS79FVW1uv7G3KsG1hT\n#Eth :\n0x1cf07c9a06c5ba513a9c9a6aacc05e480b58f0ed\n#Tron:\nTWx9Y7dfZM8jBvn4xG2Wh9GrSEjfXcNP2u\n#USDT :\n3Pp4zH4K2h4Sm3mh2v9b7Y9o8vmdhXvYpS\n#DOGE :\nDBcFZxxGhEqeUW3vmVRuQ7tAtSoVQgjQgW https://t.co/AFTRJBVpLu',2,0,2,0
8,2022-03-19 23:19:58+00:00,1482925094657617921,b'Please help Ukrainian kids\n#Ukraine #Donation  #war \n\n#Bitcoin:\n1BfYLQNwwWfAcfLTS79FVW1uv7G3KsG1hT\n#Eth :\n0x1cf07c9a06c5ba513a9c9a6aacc05e480b58f0ed\n#Tron:\nTWx9Y7dfZM8jBvn4xG2Wh9GrSEjfXcNP2u\n#USDT :\n3Pp4zH4K2h4Sm3mh2v9b7Y9o8vmdhXvYpS\n#DOGE :\nDBcFZxxGhEqeUW3vmVRuQ7tAtSoVQgjQgW https://t.co/LUBUORL2jC',2,0,2,0
9,2022-03-19 23:14:06+00:00,1469577636426833930,"b""Hypocrisy:fake lying! America has no #civilbenefits when it's spends 30,000,000*000,000 trillion $ a year #Iran #Student #JeffBezos  #paranormal #bank #inflation  #loan #BTC #hiphop #india #Ukraine #Russia #poverty  #NickiMinaj #Raw #Czech #nft #gold https://t.co/EP08LnOIOa""",0,0,0,0
