,author_id,created_at,text,retweet_count,reply_count,like_count,quote_count
20,1454201361218908167,2022-03-24 23:05:12+00:00,"b'#Russia May Accept #Bitcoin for Gas Exports, Lawmaker Says'",0,0,0,0
21,1498050887620698117,2022-03-24 23:02:39+00:00,b'Too scan or not to scan? I scan \xf0\x9f\x91\x85\xf0\x9f\x92\xa6 #nft #eth #btc #crypto #nftcollection #opensea #twitter #russia https://t.co/ZgH66uzaj9',2,0,5,2
22,1400378624998445057,2022-03-24 23:00:16+00:00,b'#FREESPINS #BTC BONUS \nCLICK =&gt; https://t.co/mum0dq6V2H\n\n -1 Minute Registration\n- No Verifications\n- Immediate BTC Freespins NO Deposit\n- Withdrawals take less than 10 Minutes\n\n#ukraine #nfts #trending #breakingnews #cryptocurrency https://t.co/2qeWfCWX0i',0,0,0,0
23,1505936308765696004,2022-03-24 22:59:00+00:00,b'24H News \n#Russia Is Open To Selling Natural Gas For #Bitcoin \n\nSource\nhttps://t.co/7L4Ep2YMWi',0,0,0,0
24,1506773548857184260,2022-03-24 22:58:27+00:00,"b'#gold deliveries to Russia will be expensive in the current adversarial environment in which @Boeing and @Airbus have cut off spare parts and Russia has ""confiscated"" about 437 leased aircraft.\nHow much to insure 737 full of gold flying to #Russia ?\n#Bitcoin = no 737 needed. https://t.co/DtW4COOhB4'",0,0,0,0
25,1410011649461964803,2022-03-24 22:54:56+00:00,b'The biggest natural gas producer/exporter #Russia is considering accepting #Bitcoin \n\nThis would be a massive catalyst for a new bull run',0,1,1,0
26,836708129060630532,2022-03-24 22:54:54+00:00,"b'#Russia will accept #Bitcoin as payment for oil from ""Allies"".\n\n$BTC $ETH \n\n#Crypto'",0,0,1,0
27,1489002397125029890,2022-03-24 22:51:42+00:00,b'BREAKING: RUSSIA OPEN TO TAKING PAYMENTS FOR NATURAL GAS IN #Bitcoin - CHAIR OF CONGRESSIONAL ENERGY COMMITTEE #Russia',0,0,0,0
28,1359704175949475842,2022-03-24 22:51:16+00:00,b'Breaking: #Russia Says It Will Take #Gold AND #Bitcoin For Nat Gas https://t.co/pP4AhsJXEZ via @GeorgeGammon',0,0,0,0
29,1250457617060642822,2022-03-24 22:50:54+00:00,b'RUSSIAN BITCOINS\n\n#russia #bitcoin #oil #oilprice #bitcoinmining #cryptocurrency https://t.co/jOQ76pxyWF',0,0,0,0
