,created_at,author_id,text,retweet_count,reply_count,like_count,quote_count
18,2022-03-21 21:52:45+00:00,1482925094657617921,b'Please help Ukrainian kids\n#Ukraine #Donation  #war \n\n#Bitcoin:\n1BfYLQNwwWfAcfLTS79FVW1uv7G3KsG1hT\n#Eth :\n0x1cf07c9a06c5ba513a9c9a6aacc05e480b58f0ed\n#Tron:\nTWx9Y7dfZM8jBvn4xG2Wh9GrSEjfXcNP2u\n#USDT :\n3Pp4zH4K2h4Sm3mh2v9b7Y9o8vmdhXvYpS\n#DOGE :\nDBcFZxxGhEqeUW3vmVRuQ7tAtSoVQgjQgW https://t.co/2lub8wKxl3 https://t.co/KtaNkljKuA',3,0,3,0
19,2022-03-21 21:52:16+00:00,1482925094657617921,b'Please help Ukrainian kids\n#Ukraine #Donation  #war \n\n#Bitcoin:\n1BfYLQNwwWfAcfLTS79FVW1uv7G3KsG1hT\n#Eth :\n0x1cf07c9a06c5ba513a9c9a6aacc05e480b58f0ed\n#Tron:\nTWx9Y7dfZM8jBvn4xG2Wh9GrSEjfXcNP2u\n#USDT :\n3Pp4zH4K2h4Sm3mh2v9b7Y9o8vmdhXvYpS\n#DOGE :\nDBcFZxxGhEqeUW3vmVRuQ7tAtSoVQgjQgW https://t.co/XDbUrQggIZ https://t.co/YN9uZ9fmAn',3,0,2,0
20,2022-03-21 21:51:46+00:00,1482925094657617921,b'Please help Ukrainian kids\n#Ukraine #Donation  #war \n\n#Bitcoin:\n1BfYLQNwwWfAcfLTS79FVW1uv7G3KsG1hT\n#Eth :\n0x1cf07c9a06c5ba513a9c9a6aacc05e480b58f0ed\n#Tron:\nTWx9Y7dfZM8jBvn4xG2Wh9GrSEjfXcNP2u\n#USDT :\n3Pp4zH4K2h4Sm3mh2v9b7Y9o8vmdhXvYpS\n#DOGE :\nDBcFZxxGhEqeUW3vmVRuQ7tAtSoVQgjQgW https://t.co/iDrsD9rTiN https://t.co/pooejPfITC',3,0,2,0
21,2022-03-21 21:51:03+00:00,1482925094657617921,b'Please help Ukrainian kids\n#Ukraine #Donation  #war \n\n#Bitcoin:\n1BfYLQNwwWfAcfLTS79FVW1uv7G3KsG1hT\n#Eth :\n0x1cf07c9a06c5ba513a9c9a6aacc05e480b58f0ed\n#Tron:\nTWx9Y7dfZM8jBvn4xG2Wh9GrSEjfXcNP2u\n#USDT :\n3Pp4zH4K2h4Sm3mh2v9b7Y9o8vmdhXvYpS\n#DOGE :\nDBcFZxxGhEqeUW3vmVRuQ7tAtSoVQgjQgW https://t.co/qQCYpUFbM1 https://t.co/vGlMBiib4t',4,0,2,0
22,2022-03-21 21:50:02+00:00,918075342463688704,b'European Equities: German Consumer Confidence and U.S Stats in Focus\n#russia #bitcoin #trading #eth\nhttps://t.co/NFFRcCO3MB',0,0,0,0
23,2022-03-21 21:49:34+00:00,1447404799075311625,b'TripleOPesOFlaccO ZoMBiESXPiRATEs #newmusic #Apple #spotify #amazon #Bitcoin #UKRAINE \nSee this Instagram video by @rumple.still.spinnin https://t.co/aPoPGKP6bT',0,0,1,0
24,2022-03-21 21:48:03+00:00,203025512,"b""#Bitcoin to the rescue: #cryptocurrencies' role in #Ukraine \nhttps://t.co/yLPqIt6s6z https://t.co/QlBgItaUoh""",1,1,1,0
25,2022-03-21 21:47:19+00:00,1390423077595516931,b'It took a lot of effort to draw this product. please buy this product . i need money urgently https://t.co/J5QQB5Rm0q #OpenSeaNFT #Polygon #AnimeNFT #Cryptos #NFTs  #ETH   #UkraineRussianWar  #Ukraine #Dolar #Bitcoin #Anime  #APECOIN #BTC https://t.co/MkA69rygBf',2,0,2,0
26,2022-03-21 21:45:02+00:00,916681683134447617,b'Bitcoin sees \xe2\x80\x98quite healthy\xe2\x80\x99 consolidation on $200M BTC options expiry day\n#blockchain #bitcoin #cryptocurrency #russia\nhttps://t.co/x4RPtrCO7e',0,0,0,0
27,2022-03-21 21:43:36+00:00,1482925094657617921,b'Please help Ukrainian kids\n#Ukraine #Donation  #war \n\n#Bitcoin:\n1BfYLQNwwWfAcfLTS79FVW1uv7G3KsG1hT\n#Eth :\n0x1cf07c9a06c5ba513a9c9a6aacc05e480b58f0ed\n#Tron:\nTWx9Y7dfZM8jBvn4xG2Wh9GrSEjfXcNP2u\n#USDT :\n3Pp4zH4K2h4Sm3mh2v9b7Y9o8vmdhXvYpS\n#DOGE :\nDBcFZxxGhEqeUW3vmVRuQ7tAtSoVQgjQgW https://t.co/xdyO8EDSKB https://t.co/Po24LLNDQC',3,0,2,0
