time,open,high,low,close,Volume,Volume MA
2022-03-22T17:00:00Z,42533,42649,42497,42621,3409636.1814,9028257.454619968
2022-03-22T17:30:00Z,42621,42632,42545,42631,2677499.2003,8863907.491279969
2022-03-22T18:00:00Z,42631,42649,42521,42542,2939052.6687,8409530.21938997
2022-03-22T18:30:00Z,42542,42610,42503,42579,3294631.5871,8090026.243929969
2022-03-22T19:00:00Z,42579,42731,42567,42602,4600034.9607,8102069.550279969
2022-03-22T19:30:00Z,42602,42654,42289,42294,10153920.5171,8455201.910649968
2022-03-22T20:00:00Z,42294,42568,42284,42510,13663311.0506,8789935.80903497
2022-03-22T20:30:00Z,42510,42652,42406,42611,4736631.66,8537071.769499969
2022-03-22T21:00:00Z,42611,42806,42589,42732,4218363.8682,8387023.808894968
2022-03-22T21:30:00Z,42732,42903,42732,42856,5235752.5318,8121560.680594969
2022-03-22T22:00:00Z,42856,42856,42514,42634,7722787.3723,8065132.378124969
2022-03-22T22:30:00Z,42634,42666,42481,42550,5836909.6507,8044240.268894969
2022-03-22T23:00:00Z,42550,42552,42340,42341,4476242.9499,8076701.474549969
2022-03-22T23:30:00Z,42341,42439,42275,42373,6459752.795,7296514.120034968
2022-03-23T00:00:00Z,42373,42503,42324,42418,5336262.4381,7039195.746599968
2022-03-23T00:30:00Z,42418,42453,42294,42418,3131373.0102,6099973.813749967
2022-03-23T01:00:00Z,42418,42418,41908,42140,22163038.689,6627466.4175449675
2022-03-23T01:30:00Z,42140,42390,42033,42332,4258371.8809,6392075.747464968
2022-03-23T02:00:00Z,42332,42552,42264,42549,9471188.567,6544832.597134968
2022-03-23T02:30:00Z,42549,42549,42294,42346,4012862.6215,6389881.210024968
2022-03-23T03:00:00Z,42346,42387,42182,42212,6232511.6491,6531024.983409968
2022-03-23T03:30:00Z,42212,42275,42087,42089,5362282.1665,6665264.131719968
2022-03-23T04:00:00Z,42089,42218,41803,41844,10801347.8263,7058378.889599969
2022-03-23T04:30:00Z,41844,41972,41758,41964,6253003.1231,7206297.4663999695
2022-03-23T05:00:00Z,41964,41968,41796,41919,4721870.2699,7212389.231859969
2022-03-23T05:30:00Z,41919,42100,41892,42048,7839991.739,7096692.792954968
2022-03-23T06:00:00Z,42048,42148,41973,42121,7170016.7303,6772028.076939968
2022-03-23T06:30:00Z,42121,42277,42070,42258,7330677.4498,6901730.36642997
2022-03-23T07:00:00Z,42258,42280,42052,42155,3424740.1628,6862049.18115997
2022-03-23T07:30:00Z,42155,42230,42073,42127,4604411.8258,6830482.14585997
2022-03-23T08:00:00Z,42127,42346,42003,42255,10023897.3426,6945537.644374969
2022-03-23T08:30:00Z,42255,42370,42254,42254,6100625.7294,6958723.44830997
2022-03-23T09:00:00Z,42254,42325,42124,42124,7105731.3484,7090197.86823497
2022-03-23T09:30:00Z,42124,42214,41957,42188,18555435.1227,7694981.98461997
2022-03-23T10:00:00Z,42188,42296,42116,42239,4156381.2726,7635987.92634497
2022-03-23T10:30:00Z,42239,42256,42157,42171,2613585.6589,7610098.55877997
2022-03-23T11:00:00Z,42171,42202,41896,41971,6312138.6001,6817553.55433497
2022-03-23T11:30:00Z,41971,42071,41920,42054,3771590.0628,6793214.46342997
2022-03-23T12:00:00Z,42054,42106,41896,41970,4607742.3948,6550042.15481997
2022-03-23T12:30:00Z,41970,42462,41970,42382,46682900.0519,8683544.026339969
2022-03-23T13:00:00Z,42381,42481,42171,42212,9887486.749,8866292.78133497
2022-03-23T13:30:00Z,42212,42250,41991,42032,12124100.8853,9204383.71727497
2022-03-23T14:00:00Z,42032,42328,41962,42299,20459157.1811,9687274.18501497
2022-03-23T14:30:00Z,42299,42422,42247,42411,17195381.8482,10234393.12126997
2022-03-23T15:00:00Z,42411,42573,42331,42525,27123381.442,11354468.67987497
2022-03-23T15:30:00Z,42525,42775,42448,42644,12920025.9249,11608470.38916997
2022-03-23T16:00:00Z,42644,42786,42525,42691,6555070.6087,11577723.08308997
2022-03-23T16:30:00Z,42691,42717,42499,42601,4664146.8995,11444396.555574972
2022-03-23T17:00:00Z,42601,42619,42314,42357,9758565.4887,11761087.821869971
2022-03-23T17:30:00Z,42357,42410,42061,42174,8577252.9235,11959729.876754971
2022-03-23T18:00:00Z,42174,42176,42058,42174,7661361.5178,11841603.085514972
2022-03-23T18:30:00Z,42174,42231,42101,42101,3888929.7336,11731018.285724971
2022-03-23T19:00:00Z,42101,42386,42085,42322,7741276.7354,11762795.555074971
2022-03-23T19:30:00Z,42322,42361,42215,42227,4086547.4435,11039351.17111497
2022-03-23T20:00:00Z,42227,42413,42200,42379,4439144.4367,11053489.32931997
2022-03-23T20:30:00Z,42379,42422,42304,42369,2994732.6452,11072546.678634971
2022-03-23T21:00:00Z,42369,42369,42266,42333,2316810.2477,10872780.261014972
2022-03-23T21:30:00Z,42333,42422,42333,42402,3968035.0295,10882602.509349972
2022-03-23T22:00:00Z,42402,42499,42354,42460,6336324.5412,10969031.616669971
2022-03-23T22:30:00Z,42460,42578,42452,42507,7506574.0363,9010215.315889973
2022-03-23T23:00:00Z,42507,42673,42420,42661,6731916.4489,8852436.800884973
2022-03-23T23:30:00Z,42661,43048,42531,42900,25174851.8619,9504974.349714972
2022-03-24T00:00:00Z,42900,43188,42829,42944,20816205.2613,9522826.753724972
2022-03-24T00:30:00Z,42944,43319,42770,43059,13052745.4309,9315694.932859972
2022-03-24T01:00:00Z,43059,43109,42759,42793,7615396.0127,8340295.661394971
2022-03-24T01:30:00Z,42793,42888,42707,42840,6144118.3577,8001500.283034971
2022-03-24T02:00:00Z,42840,42895,42664,42790,4541904.8495,7900841.995074971
2022-03-24T02:30:00Z,42790,42987,42787,42980,4759625.9778,7905615.948989971
2022-03-24T03:00:00Z,42980,42988,42873,42950,3918327.404,7613604.044754972
2022-03-24T03:30:00Z,42950,42950,42700,42731,4611948.8839,7415338.84277497
2022-03-24T04:00:00Z,42731,42910,42731,42870,5765096.3883,7320525.586299971
2022-03-24T04:30:00Z,42870,42985,42839,42925,5891889.7003,7420673.584634972
2022-03-24T05:00:00Z,42925,42946,42821,42834,3062631.9683,7186741.346279973
2022-03-24T05:30:00Z,42834,43072,42801,43041,6937039.3562,7329265.941914973
2022-03-24T06:00:00Z,43041,43523,43015,43245,17749287.6729,7994773.103724973
2022-03-24T06:30:00Z,43245,43350,42999,43236,16304395.9058,8660256.266754974
2022-03-24T07:00:00Z,43236,43265,42926,43095,12744616.2418,9181646.566459972
2022-03-24T07:30:00Z,43093,43182,43020,43099,6256279.2563,9296058.777799973
2022-03-24T08:00:00Z,43099,43147,42993,43057,8539088.8962,9406196.995549973
2022-03-24T08:30:00Z,43057,43189,43057,43064,3555946.9873,9208665.643099973
2022-03-24T09:00:00Z,43064,43193,43055,43132,6514488.6228,9197794.251794972
2022-03-24T09:30:00Z,43132,43244,42841,43053,15248201.2519,8701461.721294971
